source_csv,query_id,question,building,approach,model_name,skipped,score_error,original_f1,original_row_coverage,original_excess_rows,num_bgp_culprits,num_filter_culprits,best_found_at_depth,best_relaxed_f1,best_relaxed_row_coverage,best_relaxed_excess_rows,delta_f1,best_relaxed_triples,best_relaxed_path_texts,best_relaxed_query,diagnose_error,elapsed_sec
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"Identify each entity that is an AHU, and either has a directly associated property or is indirectly connected to a property via a connectable.",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.132
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"For each Air Handling Unit (AHU) whose label includes 'RTU', what are the related non-writable property labels and ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.132
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"For each air handling unit whose label contains rtu, identify any connectable element it contains that observes or has property a property, or any property it has directly, and for each property give its label along with the ALC endpoint and the MPC database name from its external reference",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.262
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,How can I find the alc and mpc endpoints for zone properties that aren't editable?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,1,0.0,0,0,0.0,?property <http://www.w3.org/2000/01/rdf-schema#domain> ?superClassDomain,((<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / <http://www.w3.org/2000/01/rdf-schema#subClassOf>) | (<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>)),SELECT DISTINCT ?property ?propertyLabel ?zoneClass ?superClassDomain WHERE { ?property <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/1999/02/22-rdf-syntax-ns#Property> . ?property ((<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / <http://www.w3.org/2000/01/rdf-schema#subClassOf>) | (<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>)) ?superClassDomain . { <https://brickschema.org/schema/Brick#Zone> <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?superClassDomain . BIND(<https://brickschema.org/schema/Brick#Zone> AS ?zoneClass) } UNION { <http://data.ashrae.org/standard223#Zone> <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?superClassDomain . BIND(<http://data.ashrae.org/standard223#Zone> AS ?zoneClass) } OPTIONAL { ?property <http://www.w3.org/2000/01/rdf-schema#label> ?propertyLabel . } } LIMIT 50000,,0.368
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,List the labels of all non-writable properties for zones and show the corresponding alc endpoint and mpc database endpoint for each.,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.171
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,What alc and mpc endpoints are defined for the read-only properties of each zone?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,1,,,,,,,,,,0.135
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"For each Zone that either has a Property directly or has a RoomDomainSpace reached by two connected steps and a contains relationship leading to a Property, what is the label of that Property and what are the external reference alc endpoint and mpc endpoint when writable is False?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.234
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"Which properties associated with building zones (including those linked through room domain spaces and chained connections) are read-only, and what are their labels together with the alc and mpc endpoints in their external references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,2,2,1,0.0,0,0,0.0,?property <http://www.w3.org/2000/01/rdf-schema#domain> ?domainClass,^(<http://www.w3.org/ns/shacl#path>),SELECT DISTINCT ?property ?label WHERE { VALUES ( ?zoneRelatedEntity ) { ( <http://data.ashrae.org/standard223#Zone> ) ( <https://brickschema.org/schema/Brick#HVAC_Zone> ) ( <https://brickschema.org/schema/Brick#Room> ) ( <https://brickschema.org/schema/Brick#Zone_Air> ) ( <http://www.w3.org/2000/01/rdf-schema#Class> ) ( <http://www.w3.org/2002/07/owl#Class> )  } { { ?zoneRelatedEntity ?property ?value . FILTER((((?property = <http://www.w3.org/2000/01/rdf-schema#label>) || (?property = <http://www.w3.org/2000/01/rdf-schema#comment>)) || (?property = <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>))) } UNION { ?property ^(<http://www.w3.org/ns/shacl#path>) ?domainClass . FILTER((?domainClass = ?zoneRelatedEntity)) } } UNION { ?nodeShape <http://www.w3.org/ns/shacl#targetClass> ?zoneRelatedEntity . BIND(<http://www.w3.org/ns/shacl#targetClass> AS ?property) } OPTIONAL { ?property <http://www.w3.org/2000/01/rdf-schema#label> ?label . } } LIMIT 50000,,0.816
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_001,"For each zone (target), what are the related non-writable property labels and ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,2,0,2,0.018802,0,0,0.018802,?zoneRelatedShape <http://www.w3.org/ns/shacl#targetClass> <http://data.ashrae.org/standard223#Zone> | ?zoneRelatedShape <http://www.w3.org/ns/shacl#property> ?propertyNode,((<http://www.w3.org/2000/01/rdf-schema#subClassOf> / ^(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)) | (<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / ^(<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>))) | (((((((<http://www.w3.org/ns/shacl#property> | <http://www.w3.org/2000/01/rdf-schema#subClassOf>) | <http://www.w3.org/2000/01/rdf-schema#comment>) | <http://www.w3.org/2000/01/rdf-schema#label>) | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>) | ^(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)) | ^(<http://www.w3.org/ns/shacl#class>)) | ^(<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>)),SELECT ?zoneRelatedShape ?targetClass ?propertyNode WHERE { { <http://data.ashrae.org/standard223#Zone> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/ns/shacl#NodeShape> .<http://data.ashrae.org/standard223#Zone> <http://www.w3.org/ns/shacl#property> ?propertyNode . BIND(<http://data.ashrae.org/standard223#Zone> AS ?zoneRelatedShape) BIND(<http://data.ashrae.org/standard223#Zone> AS ?targetClass) } UNION { ?zoneRelatedShape <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.w3.org/ns/shacl#NodeShape> . ?zoneRelatedShape ((<http://www.w3.org/2000/01/rdf-schema#subClassOf> / ^(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)) | (<http://www.w3.org/1999/02/22-rdf-syntax-ns#type> / ^(<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>))) <http://data.ashrae.org/standard223#Zone> . OPTIONAL { ?zoneRelatedShape (((((((<http://www.w3.org/ns/shacl#property> | <http://www.w3.org/2000/01/rdf-schema#subClassOf>) | <http://www.w3.org/2000/01/rdf-schema#comment>) | <http://www.w3.org/2000/01/rdf-schema#label>) | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>) | ^(<http://www.w3.org/2000/01/rdf-schema#subClassOf>)) | ^(<http://www.w3.org/ns/shacl#class>)) | ^(<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>)) ?propertyNode . } BIND(<http://data.ashrae.org/standard223#Zone> AS ?targetClass) } } LIMIT 50000,,0.569
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,"For each water-to-water heat pump, what property does it contain, what is the label of that property, which quantity does it observe, and what are the ALC endpoint and MPC database name of its non-writable external reference?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.267
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"Which RTU units expose properties with external endpoints, and what are the property labels along with those ALC and MPC endpoint addresses",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.454
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,Where can I find the nonwritable external ALC and MPC endpoints for properties on each RTU air handling unit,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.236
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,"Which internal properties of water-to-water heat pumps observe specific quantities via non-writable external references, and what are those references’ ALC endpoints and MPC database names along with the property labels?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.262
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,Which read-only ALC and MPC endpoints deliver the measurement data for water-to-water heat pumps?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.358
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,Where can I access the read-only operational data endpoints for our water-to-water heat pumps?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.352
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,What non-writable external endpoints and MPC database names are associated with measurements taken by components inside water-to-water heat pumps?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.668
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_004,"Which external references marked as non-writable are associated with water-to-water heat pump properties, and what are their property labels along with the ALC and MPC endpoints?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.198
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_004,"For each Water-to-Water Heat Pump, what are the related non-writable property labels and ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.363
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_004,"For each water-to-water heat pump, what property does it have, what is the property's label, and what are the ALC endpoint and MPC database endpoint of its non-writable external reference?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.304
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_004,Where can I find the read-only control and database addresses for the attributes of water-to-water heat pumps?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.193
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_004,What are the non-writable ALC and MPC endpoints and their related property names for all water-to-water heat pumps?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.285
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_005,What is the label of each UFT?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.485
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,"For RTU air handling units, what are the property names and their associated ALC and MPC endpoints defined in the external references",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,3.341
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,Get reheat ARU data (for UFT reheat) by identifying each entity that is a Water-to-Water Heat Pump and contains a property that observes a non-writable quantity with reference endpoints.,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,timed out after 5.0s,5.105
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_003,"For each Water-to-Water Heat Pump, what are the related property labels and non-writable quantities' ALC and MPC endpoint references?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,timed out after 5.0s,5.115
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_005,"Which volume flow and heat flow measurements do unitary fan terminals record, and how are those measurements described and quantified?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.214
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_005,What volume and heat flow data are available from the fan terminals?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.353
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_005,What performance metrics are provided by unitary fan terminals?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,1,,,,,,,,,,0.241
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_002,What read-only control endpoints are available for properties of RTU units,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,timed out after 5.0s,5.28
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_006,"For each UFT, what is its label, the label of the zone it's indirectly connected to (through a junction and domain space), and the label of the AHU that indirectly supplies it?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.499
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_006,"What are the labels of each underfloor terminal, the label of the zone whose domain space it is connected to, and the label of the air handling unit supplying it?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,1,0,,,,,,,,,,0.386
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_006,"For every underfloor terminal, which zone does it serve and which air handling unit feeds air to it?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.495
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_006,How are thermal zones linked to air handling units through underfloor terminals?,b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,query has no basic graph pattern triples to diagnose,0.338
/Users/lazlopaul/Desktop/223p/experiments/sparql-relax-rs/eval/Experiment_Results/DA-KGQA/gemini-flash-2.5.csv,LBNL_006,"Which underfloor distribution devices serve which thermal zones, and from which air handling units do they receive air?",b59,dakgqa_google/gemini-flash,gemini-flash-2.5,False,,0.0,0,0,0,0,,,,,,,,,,0.655
